Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
Browser warns of mixed content errors,Browser warns of mixed content errors,Checkout,Immediate,Browser mixed content errors er warning dey
Checkout autocompletes wrong CVV,Checkout autocompletes wrong CVV,Checkout,High,Checkout e bhul CVV autocomplete hoye jay
Shipping calculator shows impossible dates,Shipping calculator shows impossible dates,Checkout,Medium,Shipping calculator impossible dates show kore
Checkout fails when cookies are blocked,Checkout fails when cookies are blocked,Checkout,High,Cookies block thakle checkout fail kore
Credit card type detection fails,Credit card type detection fails,Checkout,Immediate,Credit card type detection kaj kore na
Checkout displays wrong currency symbol,Checkout displays wrong currency symbol,Checkout,High,Checkout e bhul currency symbol dekhay
Page elements shift during form entry,Page elements shift during form entry,Checkout,Medium,Form enter korar shomoy page elements shift kore
Checkout shows expired promotion codes,Checkout shows expired promotion codes,Checkout,High,Checkout e expired promotion codes dekhay
Password requirements hidden until error,Password requirements hidden until error,Checkout,Immediate,Error na asha porjonto password requirements hidden thake
Checkout applies wrong bulk discount,Checkout applies wrong bulk discount,Checkout,High,Checkout e bhul bulk discount apply hoy
Cart icon shows wrong item count,Cart icon shows wrong item count,Checkout,Medium,Cart icon e bhul item count dekhay
Checkout fails when adblocker is enabled,Checkout fails when adblocker is enabled,Checkout,High,Adblocker enable thakle checkout fail kore
Form submits before completion,Form submits before completion,Checkout,Immediate,Complete howar agei form submit hoye jay
Checkout displays wrong product options,Checkout displays wrong product options,Checkout,High,Checkout e bhul product options dekhay
Mobile number validation rejects valid numbers,Mobile number validation rejects valid numbers,Checkout,Medium,Mobile number validation valid numbers keo reject kore
Checkout shows wrong estimated delivery,Checkout shows wrong estimated delivery,Checkout,High,Checkout e bhul estimated delivery dekhay
Browser back button loses form data,Browser back button loses form data,Checkout,Immediate,Browser back button use korle form data chole jay
Checkout autofills old billing addresses,Checkout autofills old billing addresses,Checkout,High,Checkout purono billing addresses autofill kore
Payment method descriptions get cut off,Payment method descriptions get cut off,Checkout,Medium,Payment method descriptions kete jay
Checkout fails after browser update,Checkout fails after browser update,Checkout,High,Browser update er por checkout fail kore
Security warnings appear during checkout,Security warnings appear during checkout,Checkout,Immediate,Checkout er shomoy security warnings ashe
Checkout shows wrong reward tiers,Checkout shows wrong reward tiers,Checkout,High,Checkout e bhul reward tiers dekhay
Dropdown menus fail on touch devices,Dropdown menus fail on touch devices,Checkout,Medium,Touch devices e dropdown menus kaj kore na
Checkout calculates wrong bundle pricing,Checkout calculates wrong bundle pricing,Checkout,High,Checkout e bhul bundle pricing calculate hoy
Page reload loses applied discounts,Page reload loses applied discounts,Checkout,Immediate,Page reload korle applied discounts chole jay
Checkout displays conflicting error messages,Checkout displays conflicting error messages,Checkout,High,Checkout e conflicting error messages dekhay
Form validation triggers too early,Form validation triggers too early,Checkout,Medium,Form validation onek taratari trigger hoye jay
Checkout shows wrong subscription terms,Checkout shows wrong subscription terms,Checkout,High,Checkout e bhul subscription terms dekhay
Credit card scanning feature fails,Credit card scanning feature fails,Checkout,Immediate,Credit card scanning feature kaj kore na
Checkout suggests wrong shipping method,Checkout suggests wrong shipping method,Checkout,High,Checkout bhul shipping method suggest kore
Loading spinner never completes,Loading spinner never completes,Checkout,Medium,Loading spinner ar sesh hoy na
Checkout fails when resuming from sleep,Checkout fails when resuming from sleep,Checkout,High,Computer sleep theke wake korar por checkout fail kore
Website shows 'in stock' but order canceled for unavailable item,Website shows 'in stock' but order canceled for unavailable item,Inventory,High,Website 'in stock' dekhay kintu unavailable item er jonno order cancel hoye jay
Received different color than what was shipped,Received different color than what was shipped,Inventory,Medium,Jeta ship kora hoechilo tar theke alada color peyechi
Backordered item never arrived after 2 months,Backordered item never arrived after 2 months,Inventory,High,Backordered item 2 mash poreo ashe nai
Product page shows 10+ available but can't add to cart,Product page shows 10+ available but can't add to cart,Inventory,Medium,Product page a 10+ available dekhacche kintu cart a add kora jacche na
Received refurbished item when new was ordered,Received refurbished item when new was ordered,Inventory,Immediate,New order korle o refurbished item peyechi
Warehouse location shows stock but website says sold out,Warehouse location shows stock but website says sold out,Inventory,High,Warehouse location a stock dekhacche kintu website a sold out bolche
Item marked 'low stock' for 6 weeks but never sells out,Item marked 'low stock' for 6 weeks but never sells out,Inventory,Low,Item ta 6 week dhore 'low stock' dekhacche kintu kokhono sold out hoy na
Subscription auto-ship failed due to 'out of stock',Subscription auto-ship failed due to 'out of stock',Inventory,High,'Out of stock' er karone subscription auto-ship fail koreche
Received wrong size despite order confirmation showing correct,Received wrong size despite order confirmation showing correct,Inventory,Medium,Order confirmation a thik thaklo o wrong size peyechi
Flash sale item showed available but immediately sold out,Flash sale item showed available but immediately sold out,Inventory,High,Flash sale er item available dekhacchirom kintu shathe shathe sold out hoye gelo
Pre-order release date pushed back 3 times,Pre-order release date pushed back 3 times,Inventory,Medium,Pre-order er release date 3 bar pechano hoise
Bundle shows available but components are out of stock,Bundle shows available but components are out of stock,Inventory,High,Bundle available dekhacche kintu components gulo out of stock
Website and app show different stock levels,Website and app show different stock levels,Inventory,Immediate,Website aar app a alada alada stock level dekhacche
Received expired product despite 'fresh stock' promise,Received expired product despite 'fresh stock' promise,Inventory,High,'Fresh stock' er promise er poreo expired product peyechi
Item available for pickup but store has none,Item available for pickup but store has none,Inventory,Medium,Item pickup er jonno available kintu store a kono stock nai
Limited edition restock notification came after sellout,Limited edition restock notification came after sellout,Inventory,High,Limited edition restock er notification sellout howar pore asheche
Warehouse lost package but shows as fulfilled,Warehouse lost package but shows as fulfilled,Inventory,Medium,Warehouse package hariye pheleche kintu fulfilled dekhacche
Product discontinued after order placed,Product discontinued after order placed,Inventory,High,Order korar pore product discontinued kore dewa hoise
Received demo/floor model instead of new,Received demo/floor model instead of new,Inventory,Immediate,New er bodole demo ba floor model peyechi
Multiple warehouses show same item with different availability,Multiple warehouses show same item with different availability,Inventory,High,Multiple warehouse a same item er alada availability dekhacche
Website allows backorder but customer service says discontinued,Website allows backorder but customer service says discontinued,Inventory,Medium,Website backorder allow korche kintu customer service bolche discontinued
Item shows 'only 1 left' for 48 hours,Item shows 'only 1 left' for 48 hours,Inventory,Low,Item 48 hours dhore 'only 1 left' dekhacche
Pre-owned item sent without disclosure,Pre-owned item sent without disclosure,Inventory,High,Kono warning chara pre-owned item pathano hoise
International version received instead of domestic,International version received instead of domestic,Inventory,Medium,Domestic er bodole international version peyechi
Component missing from multi-part product,Component missing from multi-part product,Inventory,High,Multi-part product theke component missing chilo
Seasonal item removed before season ended,Seasonal item removed before season ended,Inventory,Immediate,Season shesh howar agei seasonal item remove kore newa hoise
Website shows stock but says unavailable for my region,Website shows stock but says unavailable for my region,Inventory,High,Website a stock dekhacche kintu amar region er jonno unavailable bolche
Received older model despite listing showing current,Received older model despite listing showing current,Inventory,Medium,Listing a current thaka sotheo older model peyechi
Auto-restock notification never sent,Auto-restock notification never sent,Inventory,High,Auto-restock notification kokhono ashe nai
Wrong variant shipped (matte instead of glossy),Wrong variant shipped (matte instead of glossy),Inventory,Medium,Wrong variant ship kora hoise (glossy er bodole matte)
Marketplace seller had fake stock count,Marketplace seller had fake stock count,Inventory,Immediate,Marketplace seller er fake stock count chilo
Item available for purchase but 'production delayed' email after,Item available for purchase but 'production delayed' email after,Inventory,High,Item kinar jonno available chilo kintu pore 'production delayed' email asheche
Received wrong language version of product,Received wrong language version of product,Inventory,Medium,Product er wrong language version peyechi
Website inventory doesn't sync with physical stores,Website inventory doesn't sync with physical stores,Inventory,High,Website inventory physical store er sathe sync kore na
Pre-order deposit taken but item never produced,Pre-order deposit taken but item never produced,Inventory,Immediate,Pre-order deposit newa hoise kintu item kokhono produce kora hoy nai
Warehouse damage discovered after shipping,Warehouse damage discovered after shipping,Inventory,High,Shipping er pore warehouse damage dhara poreche
Received opened/returned item as new,Received opened/returned item as new,Inventory,Medium,Opened ba returned item ke new hishebe dewa hoise
Subscription box missing key advertised item,Subscription box missing key advertised item,Inventory,High,Subscription box theke key advertised item missing chilo
Wrong edition shipped (standard instead of collector's),Wrong edition shipped (standard instead of collector's),Inventory,Medium,Wrong edition ship kora hoise (collector's er bodole standard)
Website allows purchase of clearly mistagged item,Website allows purchase of clearly mistagged item,Inventory,Immediate,Website clearly mistagged item kinar permission dicche
Received test product instead of commercial version,Received test product instead of commercial version,Inventory,High,Commercial version er bodole test product peyechi
Item shows in search but 'not carried' on product page,Item shows in search but 'not carried' on product page,Inventory,Medium,Item search a ashche kintu product page a 'not carried' bolche
Black Friday doorbuster was never in stock,Black Friday doorbuster was never in stock,Inventory,High,Black Friday doorbuster kokhono stock a chilo na
Received regional-locked version without warning,Received regional-locked version without warning,Inventory,Immediate,Kono warning chara regional-locked version peyechi
Warehouse incorrectly marked item as out of stock,Warehouse incorrectly marked item as out of stock,Inventory,High,Warehouse vul kore item ke out of stock mark koreche
Product shows 'available in 3-5 days' for 3 weeks,Product shows 'available in 3-5 days' for 3 weeks,Inventory,Medium,Product 3 week dhore 'available in 3-5 days' dekhacche
Wrong packaging (bulk instead of retail),Wrong packaging (bulk instead of retail),Inventory,High,Wrong packaging peyechi (retail er bodole bulk)
Website allows backorder but manufacturer discontinued,Website allows backorder but manufacturer discontinued,Inventory,Medium,Website backorder allow korche kintu manufacturer discontinued koreche
Received wrong regional power specifications,Received wrong regional power specifications,Inventory,Immediate,Wrong regional power specifications peyechi
Item shows 'ships today' but actually backordered,Item shows 'ships today' but actually backordered,Inventory,High,Item a 'ships today' dekhacche kintu ashole backordered
Store pickup order canceled after arrival notification,Store pickup order canceled after arrival notification,Inventory,Medium,Store pickup order ashar notification ashar pore cancel kora hoise
Received incomplete set (3/4 pieces),Received incomplete set (3/4 pieces),Inventory,High,Incomplete set peyechi (3/4 pieces)
Website shows stock at nearby stores but all show zero,Website shows stock at nearby stores but all show zero,Inventory,Immediate,Website e kase-pisher store gulate stock dekhacche kintu shob gulay zero dekhacche.
Wrong firmware version pre-installed,Wrong firmware version pre-installed,Inventory,High,Wrong firmware version pre-installed kora.
Pre-order delivery date passed without update,Pre-order delivery date passed without update,Inventory,Medium,Pre-order delivery date chole geche kono update chara.
Received product with different ingredients than listed,Received product with different ingredients than listed,Inventory,High,List kora ingredients er shathe match kore na emon product peyechi.
Marketplace seller dropshipped from unreliable source,Marketplace seller dropshipped from unreliable source,Inventory,Medium,Marketplace seller unreliable source theke dropship koreche.
Item shows 'low stock' but identical bundle available,Item shows 'low stock' but identical bundle available,Inventory,Immediate,Item 'low stock' dekhacche kintu tar moto identical bundle available ache.
Received wrong regional voltage adapter,Received wrong regional voltage adapter,Inventory,High,Wrong regional voltage adapter peyechi.
Website shows 'available to ship' but actually made-to-order,Website shows 'available to ship' but actually made-to-order,Inventory,Medium,Website e 'available to ship' dekhacche kintu eta actually made-to-order.
Product discontinued during shipping,Product discontinued during shipping,Inventory,High,Shipping er shomoy product discontinued hoye geche.
Received wrong regional media format (PAL vs NTSC),Received wrong regional media format (PAL vs NTSC),Inventory,Medium,Wrong regional media format (PAL vs NTSC) peyechi.
Warehouse system shows stock but can't locate item,Warehouse system shows stock but can't locate item,Inventory,Immediate,Warehouse system e stock dekhacche kintu item khuje pacche na.
Item shows 'in stock' but requires special order,Item shows 'in stock' but requires special order,Inventory,High,Item 'in stock' dekhacche kintu special order lage.
Subscription replacement for damaged item out of stock,Subscription replacement for damaged item out of stock,Inventory,Medium,Damaged item er jonno subscription replacement stock out.
Received wrong product generation (v1 instead of v2),Received wrong product generation (v1 instead of v2),Inventory,High,Wrong product generation peyechi (v2 er bodole v1).
Website allows purchase of pre-production prototype,Website allows purchase of pre-production prototype,Inventory,Medium,Website pre-production prototype purchase korte dicche.
Item available in cart but disappears during checkout,Item available in cart but disappears during checkout,Inventory,Immediate,Item cart e available thake kintu checkout er shomoy gaib hoye jay.
Received wrong regional safety certification,Received wrong regional safety certification,Inventory,High,Wrong regional safety certification peyechi.
Store claims inventory system error after driving to location,Store claims inventory system error after driving to location,Inventory,Medium,Location e jawar por store inventory system error er kotha bolche.
Product shows 'limited stock' at all locations,Product shows 'limited stock' at all locations,Inventory,High,Shob location e product 'limited stock' dekhacche.
Website lists wrong packaging quantity,Website lists wrong packaging quantity,Inventory,Medium,Website wrong packaging quantity list koreche.
Received wrong regional language documentation,Received wrong regional language documentation,Inventory,Immediate,Wrong regional language documentation peyechi.
Warehouse shipped wrong SKU from same product line,Warehouse shipped wrong SKU from same product line,Inventory,High,Warehouse same product line theke wrong SKU ship koreche.
Item shows 'available soon' for 6+ months,Item shows 'available soon' for 6+ months,Inventory,Medium,Item 6 masher beshi shomoy dhore 'available soon' dekhacche.
Subscription option disappeared despite 'ongoing availability',Subscription option disappeared despite 'ongoing availability',Inventory,High,'Ongoing availability' thaka shottew subscription option gaib hoye geche.
Received display model with demo firmware,Received display model with demo firmware,Inventory,Medium,Demo firmware wala display model peyechi.
Website shows stock but requires vendor approval,Website shows stock but requires vendor approval,Inventory,Immediate,Website stock dekhacche kintu vendor approval lage.
Item available for business accounts but not consumers,Item available for business accounts but not consumers,Inventory,High,Item business accounts er jonno available kintu consumers er jonno na.
Store inventory doesn't match online reservation system,Store inventory doesn't match online reservation system,Inventory,Medium,Store inventory online reservation system er shathe milche na.
Received wrong regional power cable,Received wrong regional power cable,Inventory,High,Wrong regional power cable peyechi.
Website allows purchase of recalled item,Website allows purchase of recalled item,Inventory,Medium,Website recalled item purchase korte dicche.
Item shows 'available at all stores' but none have it,Item shows 'available at all stores' but none have it,Inventory,Immediate,Item 'available at all stores' dekhacche kintu kono store e nei.
Received wrong product variant (scent/flavor),Received wrong product variant (scent/flavor),Inventory,High,Wrong product variant (scent/flavor) peyechi.
Warehouse shipped from wrong fulfillment zone,Warehouse shipped from wrong fulfillment zone,Inventory,Medium,Warehouse wrong fulfillment zone theke ship koreche.
Product shows 'back in stock' but old version,Product shows 'back in stock' but old version,Inventory,High,Product 'back in stock' dekhacche kintu eta puraton version.
Website inventory doesn't account for in-cart items,Website inventory doesn't account for in-cart items,Inventory,Medium,Website inventory cart-e thaka item gulo count kore na.
Received wrong regional warranty card,Received wrong regional warranty card,Inventory,Immediate,Wrong regional warranty card peyechi.
Item shows 'exclusive availability' but widely available,Item shows 'exclusive availability' but widely available,Inventory,High,Item 'exclusive availability' dekhacche kintu shobjay available.
Store inventory system shows ghost stock,Store inventory system shows ghost stock,Inventory,Medium,Store inventory system ghost stock dekhacche.
Received wrong product line (professional vs consumer),Received wrong product line (professional vs consumer),Inventory,High,Wrong product line (professional vs consumer) peyechi.
Website allows purchase of test-listing product,Website allows purchase of test-listing product,Inventory,Medium,Website test-listing product purchase korte dicche.
Item shows 'new stock arriving tomorrow' indefinitely,Item shows 'new stock arriving tomorrow' indefinitely,Inventory,Immediate,Item 'new stock arriving tomorrow' infinite time dhore dekhacche.
Received wrong regional version despite geo-block,Received wrong regional version despite geo-block,Inventory,High,Geo-block thaka shottew wrong regional version peyechi.
Warehouse system and physical stock don't match,Warehouse system and physical stock don't match,Inventory,Medium,Warehouse system and physical stock match korche na.
Product shows 'limited edition' but constantly restocked,Product shows 'limited edition' but constantly restocked,Inventory,High,Product 'limited edition' dekhacche kintu continuous restock hocche.
Website inventory updates lag by 24+ hours,Website inventory updates lag by 24+ hours,Inventory,Medium,Website inventory 24+ hours lag kore update hote.
Received wrong product configuration (memory/storage),Received wrong product configuration (memory/storage),Inventory,Immediate,Wrong product configuration (memory/storage) peyechi.
Item shows 'only available in combo' but sold separately,Item shows 'only available in combo' but sold separately,Inventory,High,Item 'only available in combo' dekhacche kintu alada bhabe sold hocche.
Store inventory shows negative quantities,Store inventory shows negative quantities,Inventory,Medium,Store inventory negative quantities dekhacche.
Received wrong regional safety labels,Received wrong regional safety labels,Inventory,High,Wrong regional safety labels peyechi.
Website shows phantom inventory from 3rd party sellers,Website shows phantom inventory from 3rd party sellers,Inventory,Medium,Website 3rd party sellers er phantom inventory dekhacche.
Item shows 'available' but actually special order,Item shows 'available' but actually special order,Inventory,Immediate,Item 'available' dekhacche kintu ashole special order
Received counterfeit product instead of genuine,Received counterfeit product instead of genuine,Product Quality,Immediate,Asol product er bodole counterfeit product peyechi
Item arrived with critical safety defect,Item arrived with critical safety defect,Product Quality,High,Item critical safety defect niye esheche
Product material completely different from description,Product material completely different from description,Product Quality,Immediate,Product er material description thekecompletely alada
Electronics arrived water damaged,Electronics arrived water damaged,Product Quality,High,Electronics water damaged obosthay esheche
Clothing sizing wildly inaccurate to measurements,Clothing sizing wildly inaccurate to measurements,Product Quality,Medium,Clothing er sizing measurements er theke onek beshi inaccurate
Food product contained undeclared allergen,Food product contained undeclared allergen,Product Quality,Immediate,Food product e undeclared allergen chilo
Luxury item received with obvious used/worn marks,Luxury item received with obvious used/worn marks,Product Quality,High,Luxury item e obvious used/worn marks peyechi
Product missing essential components,Product missing essential components,Product Quality,Medium,Product e essential components missing ache
Appliance arrived with factory defect preventing use,Appliance arrived with factory defect preventing use,Product Quality,High,Appliance factory defect niye esheche ja use kora jacche na
Cosmetics caused allergic reaction contrary to claims,Cosmetics caused allergic reaction contrary to claims,Product Quality,Immediate,Cosmetics claim er ulto allergic reaction korse
Furniture arrived with structural integrity issues,Furniture arrived with structural integrity issues,Product Quality,High,Furniture structural integrity issues niye esheche
Product photos show features that don't exist,Product photos show features that don't exist,Product Quality,Medium,Product photos e emon features dekhacche ja nai
Device battery life 90% less than advertised,Device battery life 90% less than advertised,Product Quality,High,Device er battery life advertised er theke 90% kom
Received expired medication,Received expired medication,Product Quality,Immediate,Expired medication peyechi
Jewelry stones fell out within days,Jewelry stones fell out within days,Product Quality,High,Jewelry er stones koyek diner modhye pore gese
Product dimensions incorrect by more than 25%,Product dimensions incorrect by more than 25%,Product Quality,Medium,Product dimensions 25% er beshi incorrect
Fabric content label deliberately misleading,Fabric content label deliberately misleading,Product Quality,High,Fabric content label deliberately misleading
Electronics lack safety certifications claimed,Electronics lack safety certifications claimed,Product Quality,Immediate,Electronics e claim kora safety certifications nai
Toy arrived with choking hazards not disclosed,Toy arrived with choking hazards not disclosed,Product Quality,High,Toy er shathe choking hazards undisclosed chilo
Designer item received with poor craftsmanship,Designer item received with poor craftsmanship,Product Quality,Medium,Designer item poor craftsmanship niye esheche
Product performance significantly below specs,Product performance significantly below specs,Product Quality,High,Product performance specs er theke significantly niche
Food packaging contained foreign object,Food packaging contained foreign object,Product Quality,Immediate,Food packaging er bhitor foreign object chilo
Received obvious factory second/defective item,Received obvious factory second/defective item,Product Quality,High,Obvious factory second/defective item peyechi
Product instructions completely inaccurate,Product instructions completely inaccurate,Product Quality,Medium,Product instructions completely inaccurate
Device arrived with dangerous electrical fault,Device arrived with dangerous electrical fault,Product Quality,High,Device dangerous electrical fault niye esheche
Clothing seams unraveled after first wash,Clothing seams unraveled after first wash,Product Quality,Immediate,First wash er por e clothing seams khule gese
Product weight substantially less than advertised,Product weight substantially less than advertised,Product Quality,High,Product weight advertised er theke substantially kom
Cosmetics arrived contaminated/moldy,Cosmetics arrived contaminated/moldy,Product Quality,Medium,Cosmetics contaminated/moldy obosthay esheche
Furniture finish completely different from sample,Furniture finish completely different from sample,Product Quality,High,Furniture finish sample er theke completely alada
Equipment lacks basic safety features advertised,Equipment lacks basic safety features advertised,Product Quality,Immediate,Equipment e advertised basic safety features nai
Received product from different brand entirely,Received product from different brand entirely,Product Quality,High,Ekdom alada brand er product peyechi
Item arrived with chemical smell/off-gassing,Item arrived with chemical smell/off-gassing,Product Quality,Medium,Item chemical smell/off-gassing niye esheche
Product lifespan 10% of what was guaranteed,Product lifespan 10% of what was guaranteed,Product Quality,High,Product lifespan guarantee kora shomoyer 10% matro
Food product spoiled before expiration date,Food product spoiled before expiration date,Product Quality,Immediate,Expiration date er agei food product noshto hoye gese
Electronics arrived with tampered serial numbers,Electronics arrived with tampered serial numbers,Product Quality,High,Electronics tampered serial numbers niye esheche
Clothing colors drastically different from photos,Clothing colors drastically different from photos,Product Quality,Medium,Clothing colors photos theke drastically alada
Product packaging falsely claims awards,Product packaging falsely claims awards,Product Quality,High,Product packaging e false awards claim korse
Device arrived with critical firmware bugs,Device arrived with critical firmware bugs,Product Quality,Immediate,Device critical firmware bugs niye esheche
Jewelry plating wore off immediately,Jewelry plating wore off immediately,Product Quality,High,Jewelry plating shiggir-i uthe gese
Product arrived with undisclosed refurbished parts,Product arrived with undisclosed refurbished parts,Product Quality,Medium,Product undisclosed refurbished parts niye esheche
Appliance missing required certification marks,Appliance missing required certification marks,Product Quality,High,Appliance e required certification marks missing ache
Cosmetics texture completely different from sample,Cosmetics texture completely different from sample,Product Quality,Immediate,Cosmetics texture sample theke completely alada
Furniture arrived with untreated sharp edges,Furniture arrived with untreated sharp edges,Product Quality,High,Furniture untreated sharp edges niye esheche
Product specifications deliberately overstated,Product specifications deliberately overstated,Product Quality,Medium,Product specifications deliberately overstated kora hoyeche
Toy broke during normal use as intended,Toy broke during normal use as intended,Product Quality,High,Toy normal use korar shomoy-i venge gese
Food product nutritional info inaccurate,Food product nutritional info inaccurate,Product Quality,Immediate,Food product nutritional info inaccurate
Received product with undisclosed damage,Received product with undisclosed damage,Product Quality,High,Undisclosed damage thaka product peyechi
Device arrived with incompatible regional specs,Device arrived with incompatible regional specs,Product Quality,Medium,Device incompatible regional specs niye esheche
Clothing fabric tore under normal tension,Clothing fabric tore under normal tension,Product Quality,High,Normal tensioner modhyei clothing fabric chire gese
Product arrived with unauthorized modifications,Product arrived with unauthorized modifications,Product Quality,Immediate,Product ta unauthorized modifications er shathe ashche.
Electronics lack ports shown in marketing,Electronics lack ports shown in marketing,Product Quality,High,Electronics gulate marketing a dekhano ports gula nai.
Luxury item materials much cheaper than described,Luxury item materials much cheaper than described,Product Quality,Medium,Luxury item er materials description er theke onek beshi cheap.
Product arrived with mismatched components,Product arrived with mismatched components,Product Quality,High,Product ta mismatched components er shathe ashche.
Appliance failed first use contrary to warranty,Appliance failed first use contrary to warranty,Product Quality,Immediate,Warranty thaka shottew appliance ta first use a-i noshto hoye geche.
Cosmetics caused reaction despite 'hypoallergenic',Cosmetics caused reaction despite 'hypoallergenic',Product Quality,High,'Hypoallergenic' bola thaka shottew cosmetics reaction korche.
Furniture joints failed during assembly,Furniture joints failed during assembly,Product Quality,Medium,Furniture er joints gula assembly korar shomoy bhenge geche.
Product arrived with undisclosed used parts,Product arrived with undisclosed used parts,Product Quality,High,Product ta undisclosed used parts er shathe ashche.
Device performance claims completely false,Device performance claims completely false,Product Quality,Immediate,Device er performance claims completely fake.
Jewelry arrived with undisclosed synthetic stones,Jewelry arrived with undisclosed synthetic stones,Product Quality,High,Jewelry ta undisclosed synthetic stones er shathe ashche.
Food product taste/texture nothing like sample,Food product taste/texture nothing like sample,Product Quality,Medium,Food product er taste ba texture sample er moto ekdom-i na.
Product arrived with safety recall notice,Product arrived with safety recall notice,Product Quality,High,Product ta safety recall notice er shathe ashche.
Electronics ports don't match specifications,Electronics ports don't match specifications,Product Quality,Immediate,Electronics er ports specifications er shathe match kore na.
Clothing dye bled excessively during first wash,Clothing dye bled excessively during first wash,Product Quality,High,Clothing er dye first wash a onek beshi bleed korse.
Product arrived with wrong firmware region lock,Product arrived with wrong firmware region lock,Product Quality,Medium,Product ta wrong firmware region lock er shathe ashche.
Toy paint contained lead above legal limits,Toy paint contained lead above legal limits,Product Quality,High,Toy er paint legal limits er cheye beshi lead chilo.
Appliance arrived with factory recall defect,Appliance arrived with factory recall defect,Product Quality,Immediate,Appliance ta factory recall defect er shathe ashche.
Cosmetics shade completely mismatched to photo,Cosmetics shade completely mismatched to photo,Product Quality,High,Cosmetics er shade photo er shathe ekdom match kore nai.
Furniture arrived with untreated splinters,Furniture arrived with untreated splinters,Product Quality,Medium,Furniture ta untreated splinters er shathe ashche.
Product key features don't actually exist,Product key features don't actually exist,Product Quality,High,Product er key features gula ashole-i nai.
Device arrived with critical design flaw,Device arrived with critical design flaw,Product Quality,Immediate,Device ta critical design flaw er shathe ashche.
Jewelry clasp broke immediately,Jewelry clasp broke immediately,Product Quality,High,Jewelry er clasp shathe shathe bhenge geche.
Food product contained insect contamination,Food product contained insect contamination,Product Quality,Medium,Food product er bhitore insect contamination chilo.
Product arrived with undisclosed size limitations,Product arrived with undisclosed size limitations,Product Quality,High,Product ta undisclosed size limitations er shathe ashche.
Electronics thermal performance dangerously poor,Electronics thermal performance dangerously poor,Product Quality,Immediate,Electronics er thermal performance dangerously poor.
Clothing arrived with undisclosed 'irregular' tag,Clothing arrived with undisclosed 'irregular' tag,Product Quality,High,Clothing ta undisclosed 'irregular' tag er shathe ashche.
Product materials degrade abnormally fast,Product materials degrade abnormally fast,Product Quality,Medium,Product er materials abnormally fast degrade korche.
Toy included small parts despite 'choking hazard',Toy included small parts despite 'choking hazard',Product Quality,High,'Choking hazard' thaka shottew toy er modhye small parts chilo.
Appliance arrived with incompatible power specs,Appliance arrived with incompatible power specs,Product Quality,Immediate,Appliance ta incompatible power specs er shathe ashche.
Cosmetics leaked due to faulty packaging,Cosmetics leaked due to faulty packaging,Product Quality,High,Faulty packaging er karone cosmetics leak korse.
Furniture arrived with mismatched finishes,Furniture arrived with mismatched finishes,Product Quality,Medium,Furniture ta mismatched finishes er shathe ashche.
Product arrived with undisclosed subscription,Product arrived with undisclosed subscription,Product Quality,High,Product ta undisclosed subscription er shathe ashche.
Device lacks basic functions advertised,Device lacks basic functions advertised,Product Quality,Immediate,Device a advertised basic functions gula nai.
Jewelry arrived with fake hallmark stamps,Jewelry arrived with fake hallmark stamps,Product Quality,High,Jewelry ta fake hallmark stamps er shathe ashche.
Food product cooking instructions dangerous,Food product cooking instructions dangerous,Product Quality,Medium,Food product er cooking instructions dangerous.
Product arrived with undisclosed DRM,Product arrived with undisclosed DRM,Product Quality,High,Product ta undisclosed DRM er shathe ashche.
Electronics arrived with wrong regional voltage,Electronics arrived with wrong regional voltage,Product Quality,Immediate,Electronics ta wrong regional voltage er shathe ashche.
Clothing sizing chart completely inaccurate,Clothing sizing chart completely inaccurate,Product Quality,High,Clothing er sizing chart completely inaccurate.
Product arrived with unauthorized third-party parts,Product arrived with unauthorized third-party parts,Product Quality,Medium,Product ta unauthorized third-party parts er shathe ashche.
Toy safety warnings in wrong language,Toy safety warnings in wrong language,Product Quality,High,Toy er safety warnings vul language a chilo.
Appliance arrived with cut power cord,Appliance arrived with cut power cord,Product Quality,Immediate,Appliance ta cut power cord er shathe ashche.
Cosmetics arrived with broken safety seal,Cosmetics arrived with broken safety seal,Product Quality,High,Cosmetics broken safety seal er shathe ashche.
Furniture arrived with structural cracks,Furniture arrived with structural cracks,Product Quality,Medium,Furniture ta structural cracks er shathe ashche.
Product arrived with undisclosed required accessories,Product arrived with undisclosed required accessories,Product Quality,High,Product ta undisclosed required accessories er shathe ashche.
Device arrived with critical manufacturing defect,Device arrived with critical manufacturing defect,Product Quality,Immediate,Device ta critical manufacturing defect er shathe ashche.
Jewelry arrived with wrong gemstone cut,Jewelry arrived with wrong gemstone cut,Product Quality,High,Jewelry ta wrong gemstone cut er shathe ashche.
Food product arrived with compromised packaging,Food product arrived with compromised packaging,Product Quality,Medium,Food product compromised packaging er shathe ashche.
Product arrived with undisclosed performance limits,Product arrived with undisclosed performance limits,Product Quality,High,Product ta undisclosed performance limits er shathe ashche.
Electronics arrived with wrong regional plugs,Electronics arrived with wrong regional plugs,Product Quality,Immediate,Electronics ta wrong regional plugs er shathe ashche.
Clothing arrived with undisclosed 'final sale',Clothing arrived with undisclosed 'final sale',Product Quality,High,Clothing ta undisclosed 'final sale' er shathe ashche.
Product materials react dangerously to water,Product materials react dangerously to water,Product Quality,Medium,Product er material shob water e dangerous vabe react korche
